# Program:featureCounts v1.5.0-p3; Command:"/grp/gf/bin/bpucker/featureCounts/subread-1.5.0-p3-Linux-x86_64/bin/featureCounts" "-t" "gene" "-g" "old_locus_tag" "-a" "/vol/cluster-data/bpucker/nadja/ATCC13032.gff" "-o" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel.count_table.txt" "/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/vol/cluster-data/bpucker/nadja/results/WT_delcrtR_dunkel/Aligned.sortedByCoord.out.bam
cg0532	NC_006958.1	472947	473813	+	867	480
cg0533	NC_006958.1	473810	474940	-	1131	297
cg0534	NC_006958.1	474993	475400	-	408	74
cg0535	NC_006958.1	475485	477047	-	1563	202
cg0536	NC_006958.1	477044	477994	-	951	202
cg0537	NC_006958.1	478088	478972	-	885	358
cg0538	NC_006958.1	478985	479302	-	318	544
cg0540	NC_006958.1	479448	480200	-	753	128
cg0542	NC_006958.1	480204	480623	-	420	53
cg0543	NC_006958.1	480620	481000	-	381	138
cg0544	NC_006958.1	481127	481390	-	264	231
cg0545	NC_006958.1	481390	482667	-	1278	1429
cg0548	NC_006958.1	484102	485061	-	960	319
cg0549	NC_006958.1	485073	485384	-	312	52
cg0550	NC_006958.1	485353	485988	+	636	167
cg0551	NC_006958.1	486000	487016	+	1017	253
cg0552	NC_006958.1	487027	488658	+	1632	973
cg0553	NC_006958.1	488659	489102	+	444	347
cg0554	NC_006958.1	489226	490449	+	1224	508
cg0555	NC_006958.1	490639	491940	+	1302	328
cg0556	NC_006958.1	491965	492657	+	693	714
cg0557	NC_006958.1	492641	493915	-	1275	490
cg0559	NC_006958.1	494060	495112	+	1053	867
cgtRNA_3542	NC_006958.1	495198	495283	+	86	262
cgtRNA_3543	NC_006958.1	495903	495975	+	73	30
cgtRNA_3544	NC_006958.1	496228	496300	+	73	94
cgtRNA_3545	NC_006958.1	496339	496413	+	75	47
cgtRNA_3546	NC_006958.1	496507	496582	+	76	100
cg0561	NC_006958.1	496809	497144	+	336	1157
cg0562	NC_006958.1	497373	498329	+	957	3378
cg0563	NC_006958.1	498597	499034	+	438	9610
cg0564	NC_006958.1	499161	499871	+	711	11832
cg0565	NC_006958.1	499921	501435	-	1515	106
cg0566	NC_006958.1	501576	502922	+	1347	5
cg0567	NC_006958.1	502924	504285	+	1362	167
cg0568	NC_006958.1	504324	505571	+	1248	50
cg0569	NC_006958.1	505697	507649	+	1953	213
cg0570	NC_006958.1	507668	509083	+	1416	457
cg0571	NC_006958.1	509093	509698	+	606	204
cg0572	NC_006958.1	509997	510512	+	516	51190
cg0573	NC_006958.1	510590	510976	+	387	33404
cg0575	NC_006958.1	511502	512509	+	1008	1110
cg0576	NC_006958.1	512912	516409	+	3498	23051
cg0577	NC_006958.1	516493	520494	+	4002	28621
cg0578	NC_006958.1	520670	520852	+	183	16
cg0579	NC_006958.1	520864	521646	+	783	206
cg0580	NC_006958.1	521675	522370	-	696	450
cg0581	NC_006958.1	522693	523061	+	369	6515
cg0582	NC_006958.1	523068	523535	+	468	10128
cg0583	NC_006958.1	523883	526012	+	2130	37279
cg0587	NC_006958.1	526375	527565	+	1191	104847
cg0588	NC_006958.1	528039	528770	+	732	235
cg0589	NC_006958.1	528775	529569	-	795	106
cg0590	NC_006958.1	529588	530754	-	1167	256
cg0591	NC_006958.1	530744	531790	-	1047	323
cg0593	NC_006958.1	533098	533403	+	306	9627
cg0594	NC_006958.1	533436	534092	+	657	14962
cg0596	NC_006958.1	534089	534745	+	657	11840
cg0597	NC_006958.1	534745	535050	+	306	5114
cg0598	NC_006958.1	535075	535917	+	843	15686
cg0599	NC_006958.1	535934	536212	+	279	6226
cg0600	NC_006958.1	536216	536578	+	363	8400
cg0601	NC_006958.1	536578	537324	+	747	13538
cg0602	NC_006958.1	537327	537743	+	417	8256
cg0603	NC_006958.1	537743	537973	+	231	4889
cg0604	NC_006958.1	537976	538254	+	279	6186
cg0606	NC_006958.1	538377	538646	-	270	252
cg0607	NC_006958.1	538714	539412	-	699	560
cg0608	NC_006958.1	539740	540108	+	369	15002
cg0609	NC_006958.1	540111	540425	+	315	8883
cg0610	NC_006958.1	540425	541000	+	576	16310
cg0611	NC_006958.1	541107	542081	+	975	383
cg0612	NC_006958.1	542086	542895	-	810	547
cg0614	NC_006958.1	542917	543411	-	495	121
cg0616	NC_006958.1	543411	544328	-	918	182
cg0617	NC_006958.1	544331	544639	-	309	68
cg0618	NC_006958.1	544753	547041	-	2289	2497
cg0620	NC_006958.1	547457	548086	+	630	1701
cg0621	NC_006958.1	548183	548989	-	807	312
cg0622	NC_006958.1	548986	550695	-	1710	624
cg0623	NC_006958.1	550695	551807	-	1113	1357
cg0624	NC_006958.1	551850	552923	-	1074	3039
cg0625	NC_006958.1	552944	554128	-	1185	4173
cg0627	NC_006958.1	554451	554975	-	525	56
cg0628	NC_006958.1	555333	555731	+	399	16066
cg0629	NC_006958.1	555751	556287	+	537	18625
cg0630	NC_006958.1	556291	556695	+	405	8746
cg0631	NC_006958.1	556736	557371	+	636	18633
cg0632	NC_006958.1	557375	557560	+	186	5501
cg0634	NC_006958.1	557567	558013	+	447	13025
cg0635	NC_006958.1	558196	558519	-	324	29
cg0636	NC_006958.1	558606	558971	-	366	38
cg0637	NC_006958.1	559143	560636	-	1494	59
cg0638	NC_006958.1	560633	561370	-	738	29
cg0639	NC_006958.1	561367	562635	-	1269	40
cg0640	NC_006958.1	562645	562965	-	321	8
cg0641	NC_006958.1	562992	563738	-	747	25
cg0642	NC_006958.1	563731	565632	-	1902	99
cg0644	NC_006958.1	565679	566773	-	1095	70
cg0645	NC_006958.1	566798	568084	-	1287	72
cg0646	NC_006958.1	568271	569077	-	807	126
cg0647	NC_006958.1	569454	570776	+	1323	4080
cg0648	NC_006958.1	570776	571321	+	546	3112
cg0649	NC_006958.1	571478	572272	+	795	552
cg0650	NC_006958.1	572432	573181	+	750	4863
cg0651	NC_006958.1	573409	573627	+	219	10728
cg0652	NC_006958.1	573818	574186	+	369	9306
cg0653	NC_006958.1	574189	574593	+	405	9183
cg0654	NC_006958.1	574617	575222	+	606	13459
cg0655	NC_006958.1	575340	576356	+	1017	23090
cg0656	NC_006958.1	576412	576903	+	492	10791
cg0657	NC_006958.1	577044	577928	+	885	399
cg0658	NC_006958.1	578035	580433	+	2399	2179
cg0659	NC_006958.1	580434	580892	-	459	169
cg0660	NC_006958.1	580917	581222	-	306	36
cg0661	NC_006958.1	581407	582666	+	1260	38
cg0662	NC_006958.1	582685	584232	+	1548	358
cg0663	NC_006958.1	584317	585624	+	1308	660
cg0664	NC_006958.1	585824	586252	+	429	357
cg0665	NC_006958.1	586397	587641	-	1245	99
cg0666	NC_006958.1	587643	589025	-	1383	19
cg0668	NC_006958.1	589240	592866	+	3627	31
cg0669	NC_006958.1	592863	593765	+	903	36
cg0671	NC_006958.1	593936	594262	+	327	17
cg0672	NC_006958.1	594294	594584	+	291	8
cg0673	NC_006958.1	594940	595383	+	444	13652
cg0674	NC_006958.1	595383	595931	+	549	12850
cg0675	NC_006958.1	596110	597453	+	1344	2640
cg0676	NC_006958.1	597893	598198	+	306	43
cg0678	NC_006958.1	598195	599706	+	1512	41
cg0679	NC_006958.1	599700	599936	+	237	27
cg0680	NC_006958.1	600020	600877	-	858	1388
cg0681	NC_006958.1	600972	602057	+	1086	311
cg0682	NC_006958.1	602081	602578	+	498	263
cg0683	NC_006958.1	602812	604413	+	1602	1095
cg0684	NC_006958.1	604429	605712	+	1284	575
cg0685	NC_006958.1	605719	606396	+	678	255
cg0686	NC_006958.1	606393	606902	+	510	208
cg0687	NC_006958.1	606906	607940	+	1035	346
cg0688	NC_006958.1	607959	609683	+	1725	865
cg0689	NC_006958.1	609757	610179	+	423	74
cg0690	NC_006958.1	610349	610648	+	300	4375
cg0691	NC_006958.1	610660	611034	+	375	2298
cg0692	NC_006958.1	611123	612433	+	1311	0
cg0693	NC_006958.1	612448	613737	+	1290	11550
cg0695	NC_006958.1	613876	614175	-	300	19
cg0696	NC_006958.1	614617	615183	+	567	3813
cg0697	NC_006958.1	615183	616211	+	1029	9392
cg0698	NC_006958.1	616261	616650	-	390	344
cg0699	NC_006958.1	616797	618317	+	1521	4588
cg0700	NC_006958.1	618434	619558	+	1125	2825
cg0701	NC_006958.1	619551	620456	-	906	269
cg0702	NC_006958.1	620547	621458	+	912	23
cg0703	NC_006958.1	621465	623036	+	1572	6145
cg0704	NC_006958.1	623178	623621	+	444	497
cg0706	NC_006958.1	623918	625096	-	1179	577
cg0707	NC_006958.1	625213	626403	+	1191	63
cg0709	NC_006958.1	626446	627138	+	693	581
cg0710	NC_006958.1	627138	627464	+	327	276
cg0711	NC_006958.1	627528	627971	-	444	226
cg0712	NC_006958.1	628035	628856	-	822	293
cg0713	NC_006958.1	629224	630015	+	792	77
cg0714	NC_006958.1	630024	631604	+	1581	77
cg0715	NC_006958.1	631609	632247	-	639	317
cg0716	NC_006958.1	632410	633273	+	864	553
cg0717	NC_006958.1	633282	634145	-	864	1456
cg0718	NC_006958.1	634148	634540	-	393	469
cg0719	NC_006958.1	634537	634986	-	450	501
cg0720	NC_006958.1	634990	636636	-	1647	4037
cg0721	NC_006958.1	636636	637550	-	915	2863
cg0722	NC_006958.1	637547	639685	-	2139	9038
cg0723	NC_006958.1	639775	640893	-	1119	4701
cg0725	NC_006958.1	641094	641672	+	579	109
cg0726	NC_006958.1	641690	642340	-	651	3661
cg0727	NC_006958.1	642498	644021	+	1524	1026
cg0728	NC_006958.1	644014	645462	-	1449	869
cg0730	NC_006958.1	645487	646242	+	756	469
cg0732	NC_006958.1	646634	649051	-	2418	693
cg0733	NC_006958.1	649051	649770	-	720	249
cg0735	NC_006958.1	649898	650575	-	678	640
cg0736	NC_006958.1	650572	651654	-	1083	1110
cg0737	NC_006958.1	651850	652749	-	900	6204
cg0738	NC_006958.1	652909	656076	+	3168	74
cg0739	NC_006958.1	656137	656586	+	450	266
cg0740	NC_006958.1	656583	657998	+	1416	521
cg0741	NC_006958.1	658008	658679	+	672	248
cg0742	NC_006958.1	658663	659463	-	801	136
cg0745	NC_006958.1	659616	660392	+	777	618
cg0747	NC_006958.1	660394	660888	+	495	309
cg0748	NC_006958.1	661004	662002	+	999	439
cg0749	NC_006958.1	662108	662581	-	474	130
cg0750	NC_006958.1	662627	663481	+	855	2480
cg0751	NC_006958.1	663488	663838	+	351	617
cg0752	NC_006958.1	663840	665222	-	1383	2032
cg0753	NC_006958.1	665584	666408	-	825	1658
cg0754	NC_006958.1	666641	667774	-	1134	782
cg0755	NC_006958.1	667918	669231	-	1314	2566
cg0756	NC_006958.1	669663	671942	+	2280	2936
cg0757	NC_006958.1	671946	672149	+	204	143
cg0759	NC_006958.1	672615	674129	+	1515	214
cg0760	NC_006958.1	674129	675052	+	924	92
cg0762	NC_006958.1	675081	676232	+	1152	130
cg0763	NC_006958.1	676552	677595	-	1044	55
cg0764	NC_006958.1	677688	678410	-	723	179
cg0765	NC_006958.1	678517	679221	-	705	189
cg0766	NC_006958.1	679301	681517	-	2217	9571
cg0767	NC_006958.1	681601	682500	-	900	191
cg0768	NC_006958.1	682510	683319	-	810	68
cg0769	NC_006958.1	683316	684344	-	1029	229
cg0770	NC_006958.1	684341	685336	-	996	566
cg0771	NC_006958.1	685346	686398	-	1053	1140
cg0772	NC_006958.1	686582	687856	+	1275	200
cg0773	NC_006958.1	687908	688822	+	915	719
cg0774	NC_006958.1	688824	689483	+	660	380
cg0775	NC_006958.1	689620	689811	+	192	2995
cg0776	NC_006958.1	690386	691363	-	978	134
cg0777	NC_006958.1	691387	692169	-	783	61
cg0778	NC_006958.1	692176	693195	-	1020	872
cg0779	NC_006958.1	693355	694392	+	1038	1607
cg0780	NC_006958.1	694501	695586	+	1086	911
cg0781	NC_006958.1	695645	696550	+	906	1380
cg0782	NC_006958.1	696547	697857	-	1311	341
cg0783	NC_006958.1	698239	699468	-	1230	877
cg0784	NC_006958.1	699535	700395	-	861	1
cg0785	NC_006958.1	700392	700655	-	264	2
cg0786	NC_006958.1	700754	701389	+	636	877
cg0787	NC_006958.1	701483	701857	+	375	830
cg0788	NC_006958.1	701854	703446	-	1593	1102
cg0789	NC_006958.1	703554	704738	+	1185	830
cg0790	NC_006958.1	704878	706287	+	1410	2398
cg0791	NC_006958.1	706684	710106	+	3423	10405
cg0792	NC_006958.1	710312	711184	+	873	66
cg0793	NC_006958.1	711266	711754	+	489	510
cg0794	NC_006958.1	711990	713078	-	1089	116
cg0795	NC_006958.1	713197	714123	+	927	41
cg0796	NC_006958.1	714211	715707	+	1497	262
cg0797	NC_006958.1	715704	716621	+	918	177
cg0798	NC_006958.1	716614	717759	+	1146	352
cg0799	NC_006958.1	717756	718133	-	378	176
cg0800	NC_006958.1	718157	719482	-	1326	653
cg0801	NC_006958.1	719644	719826	+	183	67
cg0802	NC_006958.1	720050	721825	-	1776	16686
cg0803	NC_006958.1	722017	722922	-	906	1842
cg0806	NC_006958.1	723250	724317	+	1068	511
cg0807	NC_006958.1	724395	724811	-	417	813
cg0808	NC_006958.1	724885	727035	+	2151	761
cg0809	NC_006958.1	727342	727935	-	594	1737
cg0810	NC_006958.1	727940	728188	-	249	1253
cg0811	NC_006958.1	728212	729825	-	1614	11058
cg0812	NC_006958.1	730166	731797	-	1632	9134
cg0814	NC_006958.1	731966	732775	+	810	487
cg0815	NC_006958.1	732785	733273	+	489	340
cg0816	NC_006958.1	733330	734493	+	1164	848
cg0817	NC_006958.1	734533	736419	+	1887	331
cg0819	NC_006958.1	736457	736816	+	360	137
cg0820	NC_006958.1	736875	737372	+	498	476
cg0821	NC_006958.1	737372	737827	+	456	315
cg0822	NC_006958.1	737886	738680	+	795	322
cg0823	NC_006958.1	738686	740002	-	1317	96
cg0824	NC_006958.1	740143	741588	-	1446	79
cg0825	NC_006958.1	741698	742489	-	792	2735
cg0826	NC_006958.1	742870	743241	+	372	534
cg0828	NC_006958.1	743288	743854	-	567	421
cg0829	NC_006958.1	743882	744304	+	423	124
cg0830	NC_006958.1	744301	744525	-	225	54
cg0831	NC_006958.1	744537	745373	-	837	582
cg0832	NC_006958.1	745370	746404	-	1035	689
cg0833	NC_006958.1	746516	746971	-	456	244
cg0834	NC_006958.1	747092	748366	-	1275	7746
cg0835	NC_006958.1	748501	749499	-	999	1114
cg0838	NC_006958.1	750356	755158	-	4803	688
cg0839	NC_006958.1	755167	758868	-	3702	733
cg0840	NC_006958.1	759100	759753	-	654	530
cg0841	NC_006958.1	759834	762269	-	2436	1317
cg0842	NC_006958.1	762376	764676	-	2301	571
cg0843	NC_006958.1	764707	771009	-	6303	1353
cg0844	NC_006958.1	771017	775615	-	4599	2013
cg0845	NC_006958.1	775620	778508	-	2889	961
cg0847	NC_006958.1	778628	780184	-	1557	819
cg0848	NC_006958.1	780514	781386	+	873	715
cg0849	NC_006958.1	781559	782647	+	1089	1142
cg0850	NC_006958.1	783037	783351	+	315	599
cg0852	NC_006958.1	783632	784090	-	459	170
cg0853	NC_006958.1	784185	784577	+	393	811
cg0854	NC_006958.1	784657	786033	+	1377	2639
cg0855	NC_006958.1	786108	787115	+	1008	742
cg0856	NC_006958.1	787116	788300	+	1185	535
cg0858	NC_006958.1	788640	789425	-	786	4407
cg0859	NC_006958.1	789669	790022	+	354	389
cg0860	NC_006958.1	790133	791569	+	1437	2636
cg0861	NC_006958.1	791569	792180	+	612	555
cg0862	NC_006958.1	792205	792885	+	681	930
cg0864	NC_006958.1	792985	794484	+	1500	765
cg0865	NC_006958.1	794481	796187	+	1707	857
cg0866	NC_006958.1	796187	796777	+	591	386
cg0867	NC_006958.1	796921	797586	+	666	9422
cg0868	NC_006958.1	797723	800260	+	2538	4490
cg0869	NC_006958.1	800257	800640	-	384	68
cg0870	NC_006958.1	800757	801167	+	411	407
cg0871	NC_006958.1	801170	801676	+	507	494
cg0872	NC_006958.1	801678	802667	-	990	799
cg0873	NC_006958.1	802660	803952	-	1293	1269
cg0874	NC_006958.1	803963	804604	+	642	176
cg0875	NC_006958.1	804601	805713	-	1113	140
cg0876	NC_006958.1	805881	806501	+	621	887
cg0877	NC_006958.1	806504	806773	+	270	287
cg0878	NC_006958.1	807005	807265	-	261	1594
cg0879	NC_006958.1	807791	808213	+	423	85
cg0880	NC_006958.1	808210	809412	-	1203	291
cg0881	NC_006958.1	809416	810690	-	1275	692
cg0882	NC_006958.1	810759	810986	+	228	1063
cg0883	NC_006958.1	811001	811870	+	870	1265
cg0884	NC_006958.1	811878	812639	+	762	479
cg0885	NC_006958.1	812643	815693	+	3051	332
cg0886	NC_006958.1	815686	818898	+	3213	617
cg0887	NC_006958.1	818938	819999	+	1062	327
cg0888	NC_006958.1	819996	820712	+	717	344
cg0889	NC_006958.1	820727	822763	+	2037	510
cg0890	NC_006958.1	822760	823560	-	801	47
cg0891	NC_006958.1	823657	824145	+	489	18
cg0892	NC_006958.1	824150	825577	-	1428	1137
cg0893	NC_006958.1	825663	826715	+	1053	494
cg0895	NC_006958.1	827466	827990	-	525	266
cg0896	NC_006958.1	828089	831046	+	2958	442
cg0897	NC_006958.1	831097	832458	-	1362	36
cg0898	NC_006958.1	832548	833447	+	900	3342
cg0899	NC_006958.1	833444	834046	+	603	2572
cgtRNA_3547	NC_006958.1	834140	834216	+	77	185
cg0900	NC_006958.1	834265	834630	-	366	143
cg0901	NC_006958.1	835045	836109	+	1065	855
cg0902	NC_006958.1	836391	836864	+	474	9
cg0903	NC_006958.1	836906	837313	+	408	4
cg0905	NC_006958.1	838785	840368	+	1584	183
cg0906	NC_006958.1	840398	840829	+	432	269
cg0908	NC_006958.1	841103	841615	+	513	119
cg0910	NC_006958.1	842987	843769	-	783	466
cg0911	NC_006958.1	843776	844651	-	876	316
cg0913	NC_006958.1	844730	845836	+	1107	777
cg0914	NC_006958.1	845968	846657	+	690	700
cg0915	NC_006958.1	846671	847573	+	903	662
cg0916	NC_006958.1	847610	848104	+	495	507
cg0918	NC_006958.1	848105	848458	+	354	119
cgtRNA_3548	NC_006958.1	849823	849899	+	77	67
cg0921	NC_006958.1	849967	850794	-	828	165
cg0922	NC_006958.1	850794	851714	-	921	149
cg0923	NC_006958.1	851879	852469	-	591	271
cg0924	NC_006958.1	852821	853837	+	1017	5213
cg0926	NC_006958.1	854088	855089	+	1002	1275
cg0927	NC_006958.1	855082	856197	+	1116	1085
cg0928	NC_006958.1	856194	856949	+	756	796
cgr04	NC_006958.1	857584	859119	+	1536	311
cgr05	NC_006958.1	859503	862583	+	3081	1174
cgr06	NC_006958.1	862697	862813	+	117	7
cg0931	NC_006958.1	863063	864226	+	1164	52
cg0932	NC_006958.1	864221	864862	-	642	298
cg0933	NC_006958.1	864864	866537	-	1674	550
cg0934	NC_006958.1	866587	868788	-	2202	262
cg0935	NC_006958.1	868854	869045	+	192	1429
cg0936	NC_006958.1	869271	869852	-	582	14693
cg0938	NC_006958.1	870409	870792	+	384	613
cg0939	NC_006958.1	870847	871374	-	528	696
cg0940	NC_006958.1	871386	872213	-	828	433
cg0941	NC_006958.1	872189	872890	-	702	264
cg0944	NC_006958.1	873224	874684	+	1461	993
cg0945	NC_006958.1	874684	875514	+	831	452
cg0946	NC_006958.1	875537	876409	-	873	456
cg0947	NC_006958.1	876419	877354	-	936	1501
cg0948	NC_006958.1	877453	878583	-	1131	3290
cg0949	NC_006958.1	879309	880622	+	1314	14280
cg0950	NC_006958.1	880747	881103	+	357	3518
cg0951	NC_006958.1	881110	882552	-	1443	1049
cg0952	NC_006958.1	883178	883459	+	282	2408
cg0953	NC_006958.1	883466	885121	+	1656	18147
cg0954	NC_006958.1	885239	886015	+	777	219
cg0955	NC_006958.1	886017	886859	-	843	1630
cg0957	NC_006958.1	887143	896052	+	8910	21882
cg0958	NC_006958.1	896174	896665	+	492	496
cg0960	NC_006958.1	896912	897067	+	156	217
cg0961	NC_006958.1	897064	898113	-	1050	1711
cg0962	NC_006958.1	898187	898615	-	429	79
cgtRNA_3549	NC_006958.1	898698	898773	-	76	8
cg0963	NC_006958.1	898894	899163	+	270	2180
cg0964	NC_006958.1	899195	899434	-	240	270
cg0965	NC_006958.1	899447	899905	-	459	296
cg0966	NC_006958.1	899902	900702	-	801	971
cg0967	NC_006958.1	900721	901479	-	759	788
cg0968	NC_006958.1	901514	906076	+	4563	567
cg0969	NC_006958.1	906086	906856	+	771	104
cg0970	NC_006958.1	906860	907270	+	411	220
cg0971	NC_006958.1	907260	907862	-	603	182
cg0972	NC_006958.1	908027	909202	-	1176	373
cg0973	NC_006958.1	909227	910849	-	1623	2434
cg0974	NC_006958.1	910989	912167	-	1179	21
cg0975	NC_006958.1	912323	912628	-	306	531
cg0976	NC_006958.1	912697	914988	+	2292	760
cg0977	NC_006958.1	914945	917170	-	2226	441
cg0978	NC_006958.1	917167	917835	-	669	38
cg0979	NC_006958.1	917836	918345	-	510	44
cg0980	NC_006958.1	918438	919151	-	714	6841
cg0982	NC_006958.1	919507	920826	+	1320	487
cg0983	NC_006958.1	920798	921430	+	633	1776
cg0984	NC_006958.1	921438	923000	+	1563	4963
cg0985	NC_006958.1	923065	923886	+	822	433
cg0986	NC_006958.1	923864	924532	-	669	585
cg0987	NC_006958.1	924605	925459	-	855	573
cg0988	NC_006958.1	925626	925877	-	252	9572
cg0989	NC_006958.1	925892	926197	-	306	8751
cg0990	NC_006958.1	926201	926365	-	165	5226
cg0991	NC_006958.1	926368	926604	-	237	9005
cg0992	NC_006958.1	926792	928405	-	1614	136
cg0993	NC_006958.1	928398	928712	-	315	21
cg0994	NC_006958.1	928944	929210	+	267	7697
cg0995	NC_006958.1	929222	929395	+	174	3182
cg0996	NC_006958.1	929587	930285	+	699	702
cg0997	NC_006958.1	930354	931721	+	1368	370
cg0998	NC_006958.1	931796	933121	+	1326	696
cg0999	NC_006958.1	933176	933763	+	588	1389
cg1001	NC_006958.1	934037	934444	-	408	2955
cg1002	NC_006958.1	934526	935179	-	654	447
cg1003	NC_006958.1	935199	935771	-	573	403
cg1004	NC_006958.1	935844	936791	+	948	1250
cg1005	NC_006958.1	936820	938079	+	1260	1305
cg1006	NC_006958.1	938189	938746	+	558	361
cg1007	NC_006958.1	938860	939873	+	1014	2811
cg1009	NC_006958.1	939896	941098	+	1203	306
cg1010	NC_006958.1	941155	941562	+	408	325
cg1011	NC_006958.1	941555	942226	+	672	334
cg1012	NC_006958.1	942237	943397	+	1161	1352
cg1014	NC_006958.1	943847	945409	-	1563	522
cg1015	NC_006958.1	945457	946305	+	849	285
cg1016	NC_006958.1	946465	948252	+	1788	2199
cg1017	NC_006958.1	948309	950141	+	1833	2888
cg1018	NC_006958.1	950260	952311	+	2052	235
cg1019	NC_006958.1	952294	952929	-	636	104
cg1020	NC_006958.1	953300	954460	-	1161	89
cg1021	NC_006958.1	954509	955018	-	510	30
cg1023	NC_006958.1	955746	956225	+	480	0
cg1024	NC_006958.1	956410	956826	+	417	72
cg1027	NC_006958.1	957152	958867	-	1716	1485
cg1031	NC_006958.1	961855	962334	+	480	0
cg1032	NC_006958.1	962767	963126	+	360	28
cg1033	NC_006958.1	963126	963722	+	597	59
cg1035	NC_006958.1	964279	965112	+	834	295
cg1037	NC_006958.1	965283	966407	+	1125	6088
cg1038	NC_006958.1	966444	967325	+	882	1681
cg1039	NC_006958.1	967322	968257	+	936	345
cg1040	NC_006958.1	968298	970133	+	1836	992
cg1041	NC_006958.1	970137	970931	+	795	329
cg1043	NC_006958.1	970928	971410	-	483	233
cg1044	NC_006958.1	971490	971822	+	333	1346
cg1045	NC_006958.1	971888	972211	+	324	2160
cg1046	NC_006958.1	972334	973296	+	963	3184
cg1048	NC_006958.1	973711	974505	-	795	600
cg1049	NC_006958.1	974609	975628	+	1020	799
cg1050	NC_006958.1	975713	976435	+	723	471
cg1051	NC_006958.1	976432	977628	-	1197	361
cg1052	NC_006958.1	977756	979207	+	1452	1818
cg1053	NC_006958.1	979267	979848	-	582	250
cg1054	NC_006958.1	979835	982210	-	2376	82
cg1055	NC_006958.1	982463	982963	+	501	566
cg1056	NC_006958.1	983128	983760	+	633	609
cg1059	NC_006958.1	984570	986123	+	1554	109
cg1060	NC_006958.1	986331	987980	-	1650	378
cg1061	NC_006958.1	988209	989480	+	1272	23
cg1062	NC_006958.1	989493	990377	+	885	38
cg1064	NC_006958.1	990374	991453	+	1080	7
cg1065	NC_006958.1	991450	992178	+	729	2
cg1066	NC_006958.1	992186	992887	+	702	41
cg1067	NC_006958.1	992884	993498	-	615	115
cg1068	NC_006958.1	993528	994553	+	1026	501
cg1069	NC_006958.1	994644	996086	+	1443	2617
cg1071	NC_006958.1	996312	996854	-	543	557
cg1072	NC_006958.1	996994	997596	-	603	9810
cg1073	NC_006958.1	997872	998303	+	432	277
cg1074	NC_006958.1	998300	998926	-	627	399
cg1075	NC_006958.1	998933	999910	-	978	3747
cg1076	NC_006958.1	999922	1001379	-	1458	2908
cg1077	NC_006958.1	1001483	1002712	-	1230	133
cg1080	NC_006958.1	1002796	1004337	+	1542	343
cg1081	NC_006958.1	1004483	1005403	+	921	104
cg1082	NC_006958.1	1005423	1006256	+	834	119
cg1083	NC_006958.1	1006299	1007558	+	1260	209
cg1084	NC_006958.1	1007559	1008170	+	612	390
cg1086	NC_006958.1	1008519	1009625	+	1107	334
cg1087	NC_006958.1	1009729	1010004	+	276	1799
cg1088	NC_006958.1	1010134	1011534	+	1401	1157
cg1089	NC_006958.1	1011527	1013263	+	1737	296
cg1090	NC_006958.1	1013264	1015237	-	1974	4101
cg1091	NC_006958.1	1015486	1015737	+	252	2903
cg1092	NC_006958.1	1015810	1016235	-	426	61
cg1094	NC_006958.1	1016612	1017322	-	711	21
cg1096	NC_006958.1	1018033	1018491	+	459	762
cg1097	NC_006958.1	1018741	1019340	-	600	337
cgtRNA_3550	NC_006958.1	1019721	1019795	-	75	2
cg1098	NC_006958.1	1019886	1020539	+	654	109
cg1099	NC_006958.1	1020545	1024189	+	3645	1353
cg1100	NC_006958.1	1024166	1026136	-	1971	410
cg1101	NC_006958.1	1026133	1027866	-	1734	432
cg1103	NC_006958.1	1027972	1030470	-	2499	197
cg1104	NC_006958.1	1030473	1031753	-	1281	149
cg1105	NC_006958.1	1031836	1033341	-	1506	160
cg1106	NC_006958.1	1033442	1033654	+	213	743
cg1107	NC_006958.1	1033666	1034253	+	588	330
cg1108	NC_006958.1	1034227	1034598	-	372	1115
cg1109	NC_006958.1	1034736	1035116	-	381	7643
cg1110	NC_006958.1	1035448	1036212	+	765	173
cg1111	NC_006958.1	1036419	1037696	+	1278	22158
cg1112	NC_006958.1	1037786	1038328	+	543	641
cg1113	NC_006958.1	1038364	1038918	+	555	914
cg1115	NC_006958.1	1038918	1039883	+	966	1143
cgtRNA_3551	NC_006958.1	1039983	1040059	+	77	63
cg1116	NC_006958.1	1040188	1041120	-	933	8
cg1117	NC_006958.1	1041253	1041450	+	198	143
cg1118	NC_006958.1	1041466	1041798	+	333	36
cg1119	NC_006958.1	1041964	1042155	+	192	26
cg1120	NC_006958.1	1042395	1043390	+	996	431
cg1121	NC_006958.1	1043497	1044315	+	819	4051
cg1122	NC_006958.1	1044765	1045217	-	453	1448
cg1123	NC_006958.1	1045241	1045765	-	525	1464
cg1127	NC_006958.1	1046628	1047503	+	876	1170
cg1128	NC_006958.1	1047543	1047863	+	321	988
cg1129	NC_006958.1	1048080	1049180	+	1101	1169
cg1130	NC_006958.1	1049204	1049974	+	771	754
cg1131	NC_006958.1	1049995	1050516	+	522	184
cg1132	NC_006958.1	1050894	1051865	-	972	209
cg1133	NC_006958.1	1052094	1053398	+	1305	15592
cg1134	NC_006958.1	1053491	1055353	+	1863	293
